subpath	export_name	member_name	member_kind	static	optional	signatures	declaration
.	GenerateResponse	request	property	false	true		@genkit-ai/ai/lib/generate/response.d.ts:41:5
.	GenerateResponse	operation	property	false	true		@genkit-ai/ai/lib/generate/response.d.ts:43:5
.	GenerateResponse	model	property	false	true		@genkit-ai/ai/lib/generate/response.d.ts:45:5
.	GenerateResponse	parser	property	false	true		@genkit-ai/ai/lib/generate/response.d.ts:47:5
.	GenerateResponse	Constructor	constructor	false	false	<O = unknown>(response: GenerateResponseData, options?: { request?: GenerateRequest; parser?: MessageParser<O>; }): GenerateResponse<O>	@genkit-ai/ai/lib/generate/response.d.ts:48:5
.	GenerateResponse	assertValid	method	false	false	(): void	@genkit-ai/ai/lib/generate/response.d.ts:55:5
.	GenerateResponse	assertValidSchema	method	false	false	(request?: GenerateRequest): void	@genkit-ai/ai/lib/generate/response.d.ts:59:5
.	GenerateResponse	isValid	method	false	false	(request?: GenerateRequest): boolean	@genkit-ai/ai/lib/generate/response.d.ts:60:5
.	GenerateResponse	output	getter	false	false	(): O | null	@genkit-ai/ai/lib/generate/response.d.ts:68:5
.	GenerateResponse	text	getter	false	false	(): string	@genkit-ai/ai/lib/generate/response.d.ts:73:5
.	GenerateResponse	reasoning	getter	false	false	(): string	@genkit-ai/ai/lib/generate/response.d.ts:78:5
.	GenerateResponse	media	getter	false	false	(): { url: string; contentType?: string; } | null	@genkit-ai/ai/lib/generate/response.d.ts:84:5
.	GenerateResponse	data	getter	false	false	(): O | null	@genkit-ai/ai/lib/generate/response.d.ts:92:5
.	GenerateResponse	toolRequests	getter	false	false	(): ToolRequestPart[]	@genkit-ai/ai/lib/generate/response.d.ts:97:5
.	GenerateResponse	interrupts	getter	false	false	(): ToolRequestPart[]	@genkit-ai/ai/lib/generate/response.d.ts:102:5
.	GenerateResponse	messages	getter	false	false	(): MessageData[]	@genkit-ai/ai/lib/generate/response.d.ts:109:5
.	GenerateResponse	toJSON	method	false	false	(): ModelResponseData	@genkit-ai/ai/lib/generate/response.d.ts:110:5
.	GenerateResponseChunk	index	property	false	false		@genkit-ai/ai/lib/generate/chunk.d.ts:25:5
.	GenerateResponseChunk	role	property	false	false		@genkit-ai/ai/lib/generate/chunk.d.ts:27:5
.	GenerateResponseChunk	content	property	false	false		@genkit-ai/ai/lib/generate/chunk.d.ts:29:5
.	GenerateResponseChunk	custom	property	false	true		@genkit-ai/ai/lib/generate/chunk.d.ts:31:5
.	GenerateResponseChunk	previousChunks	property	false	true		@genkit-ai/ai/lib/generate/chunk.d.ts:33:5
.	GenerateResponseChunk	parser	property	false	true		@genkit-ai/ai/lib/generate/chunk.d.ts:35:5
.	GenerateResponseChunk	Constructor	constructor	false	false	<T = unknown>(data: GenerateResponseChunkData, options: { previousChunks?: GenerateResponseChunkData[]; role: Role; index: number; parser?: ChunkParser<T>; }): GenerateResponseChunk<T>	@genkit-ai/ai/lib/generate/chunk.d.ts:36:5
.	GenerateResponseChunk	text	getter	false	false	(): string	@genkit-ai/ai/lib/generate/chunk.d.ts:46:5
.	GenerateResponseChunk	reasoning	getter	false	false	(): string	@genkit-ai/ai/lib/generate/chunk.d.ts:51:5
.	GenerateResponseChunk	accumulatedText	getter	false	false	(): string	@genkit-ai/ai/lib/generate/chunk.d.ts:56:5
